GEO.id,GEO.id2,GEO.display-label,1HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US36081,36081,"Queens County, New York",779304,1834,59758,546,46.7,0.3,62527,762,17.5,0.2,61001,981,0.4,0.1,49547,5421,22.2,0.2,57175,1106,0.1,0.1,39013,30708,10.4,0.2,48523,1574,2.6,0.1,65190,3808,24.3,0.2,51545,606,33.4,0.2,67250,924,1.9,0.1,37920,3118,34.6,0.2,65588,900,40.9,0.3,66948,808,22.5,0.2,38563,785,525378,3018,66368,657,41,0.4,60185,806,59,0.4,70703,936,66.6,0.4,77454,890,23.9,0.4,45916,1060,9.6,0.3,56081,1982,253926,2945,41384,609,54.6,0.6,34065,1141,46.4,0.6,28342,1037,8.3,0.3,77544,2942,45.4,0.6,50624,714,34,0.6,41718,851,11.4,0.4,80557,2416,47.5,(X),(X),(X),50.1,(X),(X),(X),39.7,(X),(X),(X)
1400000US36081000200,36081000200,"Census Tract 2, Queens County, New York",990,45,67326,16510,52.9,7.1,72222,26344,3.6,3.8,122500,66142,0.5,0.7,-,**,22.7,5.9,76563,35356,0,3,-,**,14.1,4.9,63654,4860,6.1,4,95625,80350,56.2,6.9,75000,21145,18.4,5.2,49500,37051,0.9,1.5,-,**,37,6.9,85682,17776,46.3,6.7,65323,8448,15.9,3.6,49750,40338,821,68,72981,14713,43.2,7.4,66681,15036,56.8,7.4,80278,16856,63.2,8.3,83375,28281,21.9,6.8,55882,9663,14.9,6.5,81389,19968,169,62,39688,13304,31.4,14.5,43125,36869,27.8,14.2,-,**,3.6,5.6,-,**,68.6,14.5,39375,10748,33.1,15.8,-,**,35.5,15.2,125192,55077,63.8,(X),(X),(X),67.5,(X),(X),(X),46.2,(X),(X),(X)
1400000US36081000400,36081000400,"Census Tract 4, Queens County, New York",1291,89,52266,11246,46,9.6,52212,12069,5.9,3.6,42273,24288,1.2,2,-,**,24.5,7.6,71333,60263,0,2.3,-,**,20.4,7.3,49602,46588,2,2,51667,32198,55.2,8.6,50769,8000,11.9,5.7,71250,19433,5.3,4.3,-,**,29.8,9.7,52049,7492,50.9,10.1,65650,21017,13.9,6,-,**,1026,121,52056,15638,48.3,9.4,41190,18386,51.7,9.4,64048,19671,52.1,11.3,72852,14488,30.7,10.6,31676,5421,17.2,9.4,53700,29170,265,106,42284,12526,51.7,22.1,42457,14781,37.7,21.3,-,**,14,13.6,41595,34541,48.3,22.1,39821,32801,48.3,22.1,39821,32801,0,10.7,-,**,74.2,(X),(X),(X),70.4,(X),(X),(X),70.9,(X),(X),(X)
1400000US36081000600,36081000600,"Census Tract 6, Queens County, New York",1085,86,73063,6175,33.7,8.6,72262,28363,4.6,3.6,-,**,0.9,1.5,-,**,24.1,7.3,59702,52133,0,2.7,-,**,31.7,8.1,71902,3632,5,4.3,74545,6280,57,8.7,72961,8652,10,4.7,66667,29296,4.9,4.8,-,**,35,8,69167,16761,48.9,8,78576,11316,11.2,4.5,71023,22799,910,101,74042,9946,41.9,9.6,66458,15421,58.1,9.6,85795,19451,60.5,10.6,83973,20210,31.4,8.5,56200,20300,8,6.5,74901,44630,175,74,43625,34412,42.9,24,62933,44865,39.4,21.3,-,**,3.4,7.7,-,**,57.1,24,-,**,51.4,25.9,-,**,5.7,8.7,-,**,68.9,(X),(X),(X),73.4,(X),(X),(X),45.7,(X),(X),(X)
1400000US36081000800,36081000800,"Census Tract 8, Queens County, New York",934,51,70417,19265,50.9,7.7,51875,26680,2.6,1.9,-,**,0.9,1.4,-,**,25.5,6.2,95469,17586,0,3.2,-,**,18.3,6.7,81065,11466,1.9,2.2,-,**,49.9,7.8,59091,26773,21.2,6.5,69107,22263,1.3,2,-,**,43,7.6,65156,24073,41.6,6.9,89375,22587,14,3.4,50208,44102,830,68,66406,14767,48.6,8.3,66484,26501,51.4,8.3,62417,17295,70.7,8.6,68563,17129,18.6,7.1,70833,58920,10.7,5.6,59792,4200,104,52,80403,59561,42.3,26.8,-,**,23.1,18.7,17500,10738,19.2,22,-,**,57.7,26.8,80565,64237,40.4,28,-,**,17.3,25.6,-,**,74.1,(X),(X),(X),71.7,(X),(X),(X),70.2,(X),(X),(X)
1400000US36081001000,36081001000,"Census Tract 10, Queens County, New York",938,38,64821,11661,40.4,6.9,60852,13522,7.5,3.1,94375,52579,1.1,1.2,-,**,19.9,5.2,-,**,0,3.1,-,**,27.1,6.8,82500,36844,4.1,3.2,-,**,58.3,6.6,75662,19986,15.4,4.6,42000,25371,2.7,2.4,-,**,36.5,6.7,61250,18497,49.8,6.9,75511,16874,11.1,4.1,29000,3772,796,65,72794,9653,47.9,8.1,70208,17387,52.1,8.1,75694,17512,69.5,7.7,96518,19437,25.5,7.4,45104,14631,5,3.5,-,**,142,48,27742,3260,65.5,19.9,25096,3496,45.1,15.6,25313,7469,20.4,18.3,-,**,34.5,19.9,-,**,18.3,15.1,41000,25178,16.2,16.4,-,**,71.4,(X),(X),(X),70,(X),(X),(X),66.9,(X),(X),(X)
1400000US36081001200,36081001200,"Census Tract 12, Queens County, New York",1330,66,65000,6526,66.8,7.6,63906,4546,5.6,2.9,29375,9060,0,2.2,-,**,12.6,4.2,71198,41820,0,2.2,-,**,11.1,5.2,91719,37527,4.1,3.1,-,**,48.8,7.7,66681,9248,32.2,7.4,62321,10084,1.6,1.9,-,**,35.9,7.2,63194,12911,41.7,8.4,85000,46027,20.9,6.6,44063,39058,1055,103,66815,8883,44.9,9.9,63846,6447,55.1,9.9,82708,35003,80.3,7.5,67169,13810,15.2,6.7,66875,24189,4.5,3.4,-,**,275,86,50417,24884,66.5,16.8,61406,42235,56.7,17.9,45000,39299,9.8,14.8,-,**,33.5,16.8,41250,14896,30.5,17.4,41667,16977,2.9,4.7,-,**,65,(X),(X),(X),68.9,(X),(X),(X),46.9,(X),(X),(X)
1400000US36081001400,36081001400,"Census Tract 14, Queens County, New York",1068,103,64296,15018,53.4,10.1,54412,16028,5.1,5,-,**,0,2.8,-,**,15,7.5,78000,20637,0,2.8,-,**,17.6,8.6,97708,31046,8.9,6.1,-,**,56.4,12,64274,36559,23.5,7.6,50694,17965,2.5,4,-,**,28.7,9,78583,30588,52.8,9.5,64524,35887,15.9,7,52222,15802,878,124,65313,11448,42.4,10,72917,35694,57.6,10,65208,18410,64.7,11.5,68478,19268,28.7,12.1,49205,45186,6.6,5.3,67188,62220,190,90,41786,31430,45.3,25.6,33889,32858,45.3,25.6,33889,32858,0,14.6,-,**,54.7,25.6,-,**,41.6,25.9,-,**,13.2,20.2,-,**,68.4,(X),(X),(X),68.6,(X),(X),(X),63.2,(X),(X),(X)
1400000US36081001600,36081001600,"Census Tract 16, Queens County, New York",779,65,62788,20279,57.8,10.6,39967,15826,5.9,4.7,-,**,0,3.8,-,**,11.2,5.5,54135,44437,0,3.8,-,**,19.3,8.3,74318,16789,5.9,4.8,-,**,67.5,8.2,72653,24491,15,5.4,35417,19889,0,3.8,-,**,42.2,8,47321,36284,42.2,9.1,74280,17689,15.5,6.8,52708,26949,635,72,65298,20691,40.3,7.3,41000,28721,59.7,7.3,74432,31493,58,9.7,74545,23587,29.1,10.3,50625,33603,12.9,9.9,-,**,144,52,34750,23711,52.1,22.4,43015,11612,48.6,22.6,42647,27661,3.5,5.7,-,**,47.9,22.4,-,**,35.4,23.4,-,**,12.5,16.5,-,**,71.2,(X),(X),(X),74.2,(X),(X),(X),58.3,(X),(X),(X)
